Event	ID	Name			Wwise Object Path	Notes
	791019152	emit_wave			\Default Work Unit\emit_wave	
	1562304622	play_ambient			\Default Work Unit\play_ambient	
	1840284572	listen_wave			\Default Work Unit\listen_wave	
	2062355390	player3_step			\Default Work Unit\player3_step	
	2345449353	player2_step			\Default Work Unit\player2_step	
	2932040671	play_music			\Default Work Unit\play_music	
	3235708380	player1_step			\Default Work Unit\player1_step	

State Group	ID	Name			Wwise Object Path	Notes
	1675162649	player1_state			\Default Work Unit\player1_state	

State	ID	Name	State Group			Notes
	748895195	None	player1_state			
	2165475990	isBob	player1_state			
	3013609521	isSlasher	player1_state			
	3354824903	isAlice	player1_state			

Game Parameter	ID	Name			Wwise Object Path	Notes
	2029976456	player1_to_2_distance			\Default Work Unit\player1_to_2_distance	
	3092056143	player1_to_3_distance			\Default Work Unit\player1_to_3_distance	
	3472398812	player1_to_slasher_distance			\Default Work Unit\player1_to_slasher_distance	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	49004493	Pasos Player Hombre_10	Y:\Documents\GitHub Repositories\ggj2017\Wwise\ggj2017\.cache\Windows\SFX\Pasos Player Hombre_10_50DB02DB.wem		\Actor-Mixer Hierarchy\Default Work Unit\player1_steps\bob_steps_sfx\Pasos Player Hombre_10		3955
	95293301	Pasos Asesino_6	Y:\Documents\GitHub Repositories\ggj2017\Wwise\ggj2017\.cache\Windows\SFX\Pasos Asesino_6_50DB02DB.wem		\Actor-Mixer Hierarchy\Default Work Unit\player1_steps\slasher_step_sfx\slasher_steps\Pasos Asesino_6		3719
	95697694	Pasos Player Hombre_5	Y:\Documents\GitHub Repositories\ggj2017\Wwise\ggj2017\.cache\Windows\SFX\Pasos Player Hombre_5_50DB02DB.wem		\Actor-Mixer Hierarchy\Default Work Unit\player1_steps\bob_steps_sfx\Pasos Player Hombre_5		3504
	96620774	Pasos Asesino_8	Y:\Documents\GitHub Repositories\ggj2017\Wwise\ggj2017\.cache\Windows\SFX\Pasos Asesino_8_50DB02DB.wem		\Actor-Mixer Hierarchy\Default Work Unit\player1_steps\slasher_step_sfx\slasher_steps\Pasos Asesino_8		3129
	111363138	Cadenas Asesino Lead_4	Y:\Documents\GitHub Repositories\ggj2017\Wwise\ggj2017\.cache\Windows\SFX\Cadenas Asesino Lead_4_50DB02DB.wem		\Actor-Mixer Hierarchy\Default Work Unit\slasher_chains\slasher_chains\slasher_chain_leads\slasher_chains_hard\Cadenas Asesino Lead_4		4274
	116526303	Pasos Player Mujer_5	Y:\Documents\GitHub Repositories\ggj2017\Wwise\ggj2017\.cache\Windows\SFX\Pasos Player Mujer_5_50DB02DB.wem		\Actor-Mixer Hierarchy\Default Work Unit\player1_steps\alice_steps_sfx\Pasos Player Mujer_5		2861
	120774532	Cadenas Asesino Back_3	Y:\Documents\GitHub Repositories\ggj2017\Wwise\ggj2017\.cache\Windows\SFX\Cadenas Asesino Back_3_50DB02DB.wem		\Actor-Mixer Hierarchy\Default Work Unit\slasher_chains\slasher_chains\slasher_chains_back\Cadenas Asesino Back_3		7426
	145626209	Pasos Player Mujer	Y:\Documents\GitHub Repositories\ggj2017\Wwise\ggj2017\.cache\Windows\SFX\Pasos Player Mujer_50DB02DB.wem		\Actor-Mixer Hierarchy\Default Work Unit\player1_steps\alice_steps_sfx\Pasos Player Mujer		3632
	159033061	Pasos Player Mujer_7	Y:\Documents\GitHub Repositories\ggj2017\Wwise\ggj2017\.cache\Windows\SFX\Pasos Player Mujer_7_50DB02DB.wem		\Actor-Mixer Hierarchy\Default Work Unit\player1_steps\alice_steps_sfx\Pasos Player Mujer_7		3258
	184932833	Pasos Player Hombre_6	Y:\Documents\GitHub Repositories\ggj2017\Wwise\ggj2017\.cache\Windows\SFX\Pasos Player Hombre_6_50DB02DB.wem		\Actor-Mixer Hierarchy\Default Work Unit\player1_steps\bob_steps_sfx\Pasos Player Hombre_6		3636
